episode,task_name,task_index,total_reward,num_steps,final_best_fitness,mean_step_reward,mean_normalized_step_reward,num_updates,replay_size,actor_loss,critic_loss,alpha_loss,alpha,q_mean,log_prob,action_saturation
0,BBOB_F1,0,8.947706812531276,99,0.007028305486447197,0.0903808768942553,-0.18894567815741473,0,99,,,,,,,
1,BBOB_F1,0,10.43181918956952,99,0.0019359332992985303,0.10537191100575273,0.0026303552733735426,71,198,-7.332313537597656,3.9221603870391846,-82.18600463867188,0.19577543437480927,3.336156129837036,-20.40581512451172,0.0031250000465661287
2,BBOB_F1,0,12.318350402991905,99,0.0002575507549435332,0.12442778184840307,0.07445361261021305,99,297,-8.402606010437012,1.6163434982299805,-79.93231964111328,0.19010108709335327,4.950351715087891,-18.154756546020508,0.0036458333488553762
3,BBOB_F1,0,17.271706876728395,99,1.7357619686941184e-06,0.17446168562351913,0.2347321163437173,99,396,-9.478151321411133,1.2630326747894287,-80.03710174560547,0.18465730547904968,6.266335487365723,-17.38832664489746,0.00572916679084301
4,BBOB_F1,0,21.906026600852552,99,1.1837118517513687e-08,0.22127299596820763,0.33523881258982186,99,495,-10.641109466552734,3.8567118644714355,-81.17991638183594,0.17942461371421814,7.543240547180176,-17.26055908203125,0.0062500000931322575
5,BBOB_F1,0,26.340294067919636,99,1.8924749440124056e-10,0.2660635764436326,0.39472384769837326,99,594,-11.608942031860352,1.025564193725586,-81.47412109375,0.17436370253562927,8.704116821289062,-16.65472412109375,0.00989583320915699
6,BBOB_F1,0,26.326475443907743,99,1.3488186742151441e-10,0.2659239943829065,0.32844674782280414,99,693,-12.454355239868164,2.3210813999176025,-82.95301818847656,0.16939765214920044,9.61976146697998,-16.728479385375977,0.008333333767950535
7,BBOB_F1,0,21.289805584989733,99,2.8418444359854396e-08,0.2150485412625226,0.11241381992405476,99,792,-13.52363395690918,2.3610074520111084,-83.61884307861328,0.16454818844795227,10.833253860473633,-16.345291137695312,0.0072916666977107525
8,BBOB_F1,0,23.882957769672903,99,2.103115596161124e-09,0.24124199767346366,0.18891281345343755,99,891,-14.43313980102539,1.1965711116790771,-83.20449829101562,0.15982270240783691,11.97391414642334,-15.382698059082031,0.01406249962747097
9,BBOB_F1,0,20.129659197355167,99,5.527056120590632e-08,0.20332989088237544,0.04055932074539761,99,990,-15.45694351196289,2.962069034576416,-86.14714050292969,0.15526138246059418,12.932088851928711,-16.257192611694336,0.00937500037252903
